b'RCS\xc2\xa0#',b'Sort1',b'Sort2',b'Doc.',b'Subject/Motion',b'Date',b'Vote',b'Aye',b'No',b'Not\xc2\xa0Voting',b'Exc.\xc2\xa0Abs.',b'Exc.\xc2\xa0Vote',b'Total\xc2\xa0Votes',b'Result'
b'3',b'',b'',b' ',b'      M12 Suspend Rules',b'1/28/2015 12:19 PM',b'Aye',b'PASS',b'116',b'0',b'0',b'3',b'0',b'116'
b'46',b'',b'',b' ',b'CONFIRMATION OF 2015 UNC BOG ELECTION      UNC BD OF GOV',b'3/18/2015 3:02 PM',b'Aye',b'PASS',b'47',b'0',b'1',b'2',b'0',b'47'
b'66',b'',b'',b' ',b'      UNC BOARD OF Motion 12  GOVERNORS ELECTION',b'3/19/2015 3:37 PM',b'Aye',b'PASS',b'106',b'0',b'2',b'10',b'2',b'106'
b'105',b'',b'',b' ',b'      STATE BOARD OF COMMUNITY COLLEGES  CONFIRMATION OF ELECTION OF',b'4/16/2015 1:23 PM',b'Aye',b'PASS',b'43',b'0',b'0',b'6',b'1',b'43'
b'156',b'',b'',b' ',b'      Motion 12 - Add Bills to Cal.',b'4/1/2015 4:31 PM',b'Aye',b'PASS',b'106',b'11',b'1',b'2',b'0',b'117'
b'213',b'',b'',b' ',b'      Motion 12-Confirm SB of CC Election',b'4/16/2015 12:55 PM',b'Excused Absence',b'PASS',b'110',b'0',b'5',b'5',b'0',b'110'
b'1076',b'',b'',b' ',b'      Motion 12 - Extend Session Past 9p',b'9/29/2015 7:52 PM',b'Aye',b'PASS',b'83',b'29',b'3',b'5',b'0',b'112'
b'1400',b'',b'',b' ',b'      Quorum',b'6/30/2016 10:05 AM',b'Aye',b'PASS',b'102',b'5',b'6',b'7',b'0',b'107'
b'1',b'H',b'1',b'HR 1',b'House Rules.      R2 For Adoption',b'1/14/2015 10:27 AM',b'Aye',b'PASS',b'119',b'0',b'0',b'0',b'0',b'119'
b'2',b'H',b'2',b'HJR 2',b'Adjourn Organizational Session.      Second Reading',b'1/14/2015 11:05 AM',b'Aye',b'PASS',b'119',b'0',b'0',b'0',b'0',b'119'
